radius (kpc),circ velocity (km/s),circ velocity error (km/s)
0.202026,4.97177,1.9553200000000004
0.426735,11.6317,2.6663700000000006
0.628299,14.3813,2.559799999999999
0.837473,17.9307,2.968700000000002
1.03876,19.3469,4.017800000000001
1.25521,22.096,3.8931000000000004
1.4642,24.7565,4.692899999999998
1.67362,29.4614,5.8308
1.89007,32.2105,7.039600000000004
2.0836,32.1159,6.364300000000004
2.29172,30.5986,6.559699999999999
2.50727,28.9922,6.9862
2.7007,28.4532,7.946400000000001
2.90853,25.5137,7.253299999999999
