radius (kpc),circ velocity (km/s),circ velocity error (km/s)
0.11,3.611111111111107,3.6
0.22,12.685185185185183,2.8
0.33,14.629629629629633,2.3
0.44,13.703703703703702,1.7
0.55,17.685185185185183,1.6
0.66,21.666666666666664,1.8
0.77,24.72222222222222,1.7
0.89,25.740740740740744,1.7
1.,26.38888888888889,2.
1.11,27.40740740740741,2.2
1.22,30.555555555555557,2.9
1.33,35.64814814814815,2.
1.45,36.851851851851855,2.
1.55,37.22222222222223,2.
1.67,35.74074074074074,2.2
1.77,32.777777777777786,2.1
1.89,32.03703703703704,2.3
2.,29.166666666666668,2.2
2.12,26.11111111111111,2.1
2.22,26.11111111111111,2.
2.34,27.592592592592595,2.
2.45,31.11111111111111,2.1
