radius (kpc),circ velocity (km/s),circ velocity error (km/s)
0.41,10.453333333333333,3.
1.45,15.786666666666662,8.5
2.06,19.19999999999999,4.3
2.44,28.159999999999997,10.2
2.44,24.319999999999993,4.7
2.88,24.319999999999993,3.
3.23,35.84,11.3
3.66,37.97333333333333,1.5
3.93,43.733333333333334,4.7
4.13,38.61333333333333,4.7
4.51,41.17333333333333,5.5
4.63,49.919999999999995,4.9
5.29,45.65333333333332,6.6
5.73,49.70666666666667,4.9
6.1,48.42666666666666,5.6
6.31,61.65333333333333,4.7
6.92,58.666666666666664,6.
7.5,68.05333333333334,12.4
7.77,73.6,10.9
8.57,61.44,12.
9.04,73.6,12.2
11.,77.86666666666666,10.9
21.8,78.93333333333334,11.3
