radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0.0236686,0.0430108,0.14117322648035624
0.0473373,1.11828,0.5356642548099937
0.0710059,1.67742,0.8481744374284726
0.0788955,2.23656,0.9010907416961004
0.102564,2.75269,1.0666246306885871
0.126233,3.26882,1.312774899332857
0.142012,3.87097,1.5330375627573383
0.16568,4.55914,1.8433342223940445
0.197239,5.24731,2.012793675759265
0.228797,5.80645,2.2761813403856452
0.260355,6.53763,2.61067963957486
0.299803,7.05376,2.8312987600835897
0.323471,7.56989,3.0598121344447677
0.35503,8.12903,3.3670475347983713
0.386588,8.68817,3.6487503191156065
0.426035,9.2043,3.897829442389758
0.465483,9.63441,4.1241045893785
0.512821,9.93548,4.349198871718739
0.552268,10.3226,4.527000838798025
0.599606,10.7097,4.7842067448285155
0.631164,11.0968,4.912775324685367
0.639053,11.4839,4.932913039225163
0.678501,11.914,5.02612804736755
0.710059,12.3871,5.088656184113513
0.733728,12.8172,5.136485242706767
0.757396,13.2043,5.195213914586466
0.773176,13.5484,5.234369670977443
0.804734,13.9785,5.3168111916643
0.844181,14.4516,5.440299447171623
0.87574,14.7097,5.535154022269034
0.915187,15.0538,5.613312026482094
0.946746,15.3548,5.685516186566732
0.986193,15.6129,5.811529870767091
1.03353,16,5.910589298847462
1.09665,16,5.981711339986435
1.18343,15.957,6.044816545682103
1.25444,15.957,6.117100400500626
1.34911,15.957,6.236538691063994
1.44379,15.957,6.274698548996801
1.51479,15.828,6.2789861821219715
1.60158,15.6559,6.234806440776699
1.6568,15.4839,6.179811609708738
1.72781,15.2688,6.152155629061984
1.79093,15.1398,6.078552794718214
1.86193,14.8817,5.970299958040233
1.94083,14.7097,5.9683306726998495
2.01183,14.5376,5.966555112781955
2.09073,14.3226,5.96458533404441
2.17751,14.1505,5.962414361485504
2.25641,13.9785,5.960440347168348
2.32742,13.8065,5.9157839889661785
2.39842,13.5914,5.838312413048692
2.48521,13.2903,5.774186358695652
2.5641,13.1183,5.739750531192588
2.65878,12.8602,5.6963343381478335
2.73767,12.6882,5.604990844519966
2.7929,12.5161,5.559399322525134
2.87179,12.3871,5.509652820263976
2.92702,12.172,5.472534443905279
2.99803,12,5.424815097525474
3.07692,11.957,5.371808151382824
3.15582,11.7419,5.3187870451237265
3.23471,11.6129,5.270385663100696
3.3215,11.4409,5.216986365489131
3.40039,11.2688,5.163689747422269
3.47929,11.1828,5.098651325233794
3.57396,11.0108,5.0456307994567675
3.66075,10.7957,4.990830876068376
3.74753,10.6237,4.882523515886287
3.81854,10.5376,4.831262429974917
3.89744,10.4516,4.796856982866695
3.96844,10.2366,4.74249626516102
4.04734,10.1505,4.608520842674912
