radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0.103896,-0.77135,1.0466876437847867
0.17316,-1.21212,1.744479406307978
0.25974,-1.5427,2.738303766233767
0.34632,-1.87328,4.00213535064935
0.450216,-2.09366,5.334282155844155
0.467532,-1.43251,5.556306623376623
0.536797,-0.77135,7.06351012987013
0.606061,0.330579,7.679094907092384
0.692641,2.42424,8.038794488334842
0.744589,3.74656,8.273831271409536
0.831169,4.84848,8.708768892639943
0.917749,5.95041,9.215160798739005
0.987013,7.05234,9.685799220757064
1.09091,8.15427,10.43510221815966
1.21212,9.03581,11.162151283717908
1.28139,9.69697,11.2877
1.35065,10.3581,11.2877
1.41991,11.0193,11.257863324666882
1.50649,11.7906,11.2219
1.61039,12.562,11.2219
1.71429,13.2231,11.2219
1.81818,13.8843,11.29893954067815
1.92208,14.7658,11.971680967238688
2.02597,15.427,12.533755403899722
2.09524,16.3085,13.32979524180967
2.18182,17.0799,14.251420982839315
2.2684,17.9614,14.69911919851794
2.33766,18.9532,14.654751199297971
2.44156,19.7245,14.596946425089373
2.56277,20.3857,14.5753
2.7013,21.157,14.545572181596588
2.85714,21.9284,14.660653063048423
2.99567,22.5895,14.7068
3.08918,22.9862,14.7068
3.18268,23.2507,14.711520520513012
3.2658,23.3829,14.834520415510388
3.3697,23.3829,15.06986975713526
3.50476,23.6474,15.278975022159193
3.57749,24.1102,15.345526380255942
3.671,24.5069,15.45795491773309
3.7645,24.9697,15.535574934191285
3.83723,25.4986,15.593283492087302
3.93074,25.8953,15.685580169504236
4.01385,26.2259,15.6932
4.10736,26.5565,15.69512163792578
4.20087,26.8209,15.732557546767412
4.31515,27.0854,15.843681989009042
4.43983,27.1515,15.878833482839314
4.57489,27.0854,15.586558204153262
4.74113,27.0193,15.6274
4.89697,27.0854,15.6274
5.07359,27.1515,15.620005996587308
5.21905,27.3499,15.4959
5.34372,27.4821,15.490772791360433
5.47879,27.3499,15.4301
5.62424,27.2176,15.41217517550702
5.75931,27.2176,15.244412488920403
5.91515,27.0193,15.078818555463886
6.05022,26.8871,15.0356
6.21645,26.6887,15.081636994219654
6.32035,26.3581,14.986485173062192
6.44502,25.9614,14.872312145692597
6.59048,25.7631,14.8384
6.70476,25.4325,14.8384
6.81905,25.2342,14.78028697039532
6.92294,24.9697,14.7068
7.0684,24.8375,14.644309750390017
7.19307,24.7713,14.422058945401366
7.33853,24.7052,14.3123
7.45281,24.5069,14.3123
7.57749,24.5069,14.28598903964901
7.70216,24.2424,14.2466
7.83723,24.1102,14.222874111034642
7.98268,24.1102,14.1808
8.05541,24.4408,14.1808
8.10736,24.9036,14.1808
8.15931,25.4325,14.153726848076582
8.21126,25.8292,14.12347410033682
8.2632,26.3581,14.141832661683457
8.31515,26.6887,14.178807149821253
