radius (kpc),circ velocity (km/s),circ velocity error (km/s)
0.14,5.77,2.59
0.29,10.98,2.43
0.43,14.65,2.15
0.57,16.02,3.09
0.72,19.01,2.62
0.86,21.58,2.61
1.,24.06,2.34
1.15,24.68,2.97
1.29,26.55,5.39
1.44,29.44,6.27
1.58,31.67,6.34
1.72,33.67,7.09
1.87,34.35,7.31
2.01,35.06,6.57
2.15,36.08,6.35
2.3,36.16,5.53
2.44,37.32,5.24
2.58,38.39,4.96
2.73,39.8,4.85
2.87,40.48,4.81
3.01,41.13,4.33
3.16,42.01,4.13
3.3,42.8,3.78
3.44,43.19,3.37
3.59,43.91,3.41
3.73,44.44,3.37
3.87,45.02,3.43
4.02,45.79,3.71
4.16,46.22,3.65
4.31,46.81,4.18
4.45,47.13,4.72
4.59,46.73,4.55
4.74,46.98,4.53
4.88,46.54,4.63
5.02,45.47,4.68
5.17,47.11,4.81
5.31,46.96,4.71
5.45,45.65,5.02
5.6,44.21,5.16
5.74,44.21,4.97
5.88,44.63,5.49
6.03,45.9,5.25
6.17,44.66,4.78
6.31,44.7,5.74
6.46,45.64,5.77
6.6,44.01,6.18
6.74,43.69,5.95
6.89,45.49,5.41
7.03,46.04,5.58
7.18,44.67,4.76
7.32,47.02,5.66
7.46,50.15,6.54
7.61,50.72,5.12
7.75,48.32,6.92
7.89,50.42,5.61
