radius (kpc),circ velocity (km/s),circ velocity error (km/s)
1.,22.321428571428555,7.6
1.4,45.98214285714283,24.
1.6,39.73214285714283,10.3
1.7,46.428571428571416,9.8
2.3,60.714285714285694,8.5
2.8,77.67857142857142,11.6
2.85,81.69642857142857,6.2
3.,87.0535714285714,9.4
6.4,90.62499999999999,24.1
7.9,98.21428571428571,9.4
8.5,93.74999999999999,15.5
9.1,103.12499999999999,24.1
9.3,97.76785714285712,11.1
10.9,104.01785714285712,7.6
10.9,108.03571428571428,10.7
13.4,112.94642857142856,10.7
14.2,112.49999999999999,9.4
14.2,111.16071428571428,4.5
16.5,111.16071428571428,25.
17.5,113.8392857142857,8.5,
17.5,111.16071428571428,7.2
18.6,107.14285714285712,10.3
