radius (kpc),circ velocity (km/s),circ velocity error (km/s)
0.17,5.128205128205131,2.7
0.4,10.256410256410255,4.5
0.57,12.494172494172496,4.6
0.76,18.275058275058278,3.8
0.97,20.233100233100238,3.4
1.18,21.818181818181824,3.7
1.37,23.589743589743595,3.8
1.57,24.708624708624715,8.7
1.75,26.66666666666667,4.1
1.94,27.50582750582751,4.1
2.15,28.251748251748257,4.2
2.34,29.930069930069937,3.2
2.55,29.18414918414919,3.4
2.75,29.930069930069937,4.3
2.94,30.769230769230777,3.8
3.14,31.235431235431246,4.7
3.35,31.328671328671337,3.7
3.54,31.701631701631708,3.5
3.73,31.048951048951054,3.
3.93,33.006993006993014,3.5
4.14,34.778554778554785,3.5
4.32,35.804195804195814,3.4
4.51,36.363636363636374,4.7
4.7,36.456876456876465,2.9
4.91,36.829836829836836,2.9
5.11,36.923076923076934,3.1
5.3,37.389277389277396,3.3
5.51,36.083916083916094,2.8
5.72,35.990675990675996,2.9
5.92,35.710955710955716,2.8
6.11,37.016317016317025,4.2
6.29,36.923076923076934,2.2
6.5,35.897435897435905,2.5
6.69,36.456876456876465,4.4
6.9,36.363636363636374,2.3
