radius (kpc),circ velocity (km/s),circ velocity error (km/s)
0.23271,3.33,1.36
0.465421,8.87,4.32
0.698131,11.89,4.51
0.930841,15.76,5.35
1.16355,18.62,5.54
1.39626,20.15,6.81
1.62897,23.33,6.16
1.86168,23.72,4.92
2.09439,24.86,4.81
2.3271,27.63,4.28
2.55981,29.36,3.69
2.79252,33.38,4.64
3.02523,33.49,4.4
3.25794,34.81,3.79
3.49066,37.44,4.03
3.72337,37.95,4.08
3.95608,41.17,4.33
4.18879,42.97,4.24
4.4215,43.67,3.57
4.65421,44.86,4.33
4.88692,46.81,4.84
5.11963,49.89,5.15
5.35234,51.74,5.33
5.58505,52.91,4.07
5.81776,53.65,3.5
6.05047,55.38,3.54
6.28318,57.29,3.81
6.51589,58.99,4.04
6.7486,61.39,4.07
6.98131,64.56,3.81
7.21402,66.77,4.16
7.44673,68.09,4.02
7.67944,67.52,4.03
7.91215,69.26,4.
8.14486,69.45,3.41
8.37757,71.53,3.99
8.61028,71.89,4.75
8.84299,72.2,4.84
9.0757,72.72,4.83
9.30841,73.67,4.84
9.54112,73.74,4.71
9.77383,75.03,5.3
10.0065,76.39,4.77
10.2393,76.99,4.45
10.472,78.19,5.31
10.7047,75.13,4.79
10.9374,76.4,4.51
11.1701,79.99,4.17
11.4028,76.07,4.06
11.6355,76.04,4.04
11.8682,75.11,3.55
12.1009,73.76,3.52
12.3336,78.41,3.96
12.5664,78.38,4.55
12.7991,78.87,2.8
