radius (kpc),circ velocity (km/s),circ velocity error (km/s)
0.211168,6.71845,1.39806
0.418274,9.86408,1.281559999999999
0.625381,12.6602,2.79612
0.84467,19.1845,4.1942
1.03959,25.3592,3.611600000000003
1.22233,28.5049,3.4952000000000005
1.42944,32.1165,3.844700000000003
1.63655,34.4466,3.6115999999999957
1.83147,39.5728,3.2621000000000038
2.0264,43.068,3.378699999999995
2.22132,44.3495,3.6115999999999957
2.42843,45.5146,3.961199999999998
2.62335,47.7282,2.912700000000001
2.83046,49.1262,3.0290999999999997
3.03756,49.5922,4.194099999999999
3.24467,49.8252,4.194099999999999
3.43959,50.1748,3.844699999999996
3.63452,52.0388,3.611600000000003
3.81726,53.2039,3.844699999999996
4.03655,54.835,4.427199999999999
4.23147,54.7184,3.728100000000005
4.4264,54.3689,4.310599999999994
4.62132,54.2524,4.310700000000004
4.82843,54.4854,4.660199999999996
5.03553,55.6505,6.407800000000002
5.23046,56,5.359200000000001
5.42538,56.466,6.757300000000001
5.63249,56.699,7.223299999999995
5.82741,57.0485,8.038799999999995
6.02234,56.699,10.1359
6.24162,55.1845,13.980600000000003
6.42437,54.835,14.679700000000004
6.63147,56.932,15.961100000000002
6.8264,58.3301,18.873800000000003
7.04569,57.3981,22.0195
7.24061,57.9806,20.737900000000003
7.43553,60.8932,25.5146
7.63046,61.3592,29.2427
7.83756,64.0388,35.067899999999995
8.03249,66.2524,36.465999999999994
8.25178,66.6019,35.0679
