radius (kpc),circ velocity (km/s),circ velocity error (km/s)
0.0734492726880947,10.7,3.6
0.2203478180642841,22.9,3.
0.3672463634404735,8.9,2.4
0.443199,20.1587,5.8438
0.514144908816663,15.3,3.1
0.6610434541928523,33.7,1.9
0.742678,32.8405,8.766299999999998
0.8079419995690417,34.2,1.9
0.9548405449452312,34.7,1.4
1.02422,43.5731,6.817799999999998
1.1017390903214206,41.2,1.9
1.2486376356976097,47.,1.6
1.31178,52.6827,7.466799999999999
1.3955361810737996,53.3,2.
1.542434726449989,59.4,2.2
1.62332,62.4432,5.5199
1.689333271826178,66.5,1.9
1.8362318172023673,61.5,2.
1.9049,70.903,6.168400000000005
1.9831303625785568,82.2,2.6
2.1300289079547463,83.,4.3
2.21047,79.6891,14.610399999999998
2.276927453330936,88.1,6.4
2.4238259987071253,98.2,4.3
2.50405,87.8251,6.169300000000007
2.570724544083314,110.7,23.6
2.717623089459504,104.9,3.2
2.78566,95.3109,5.844200000000001
2.864521634835693,83.1,17.9
3.09126,102.149,6.494
3.38494,106.064,7.468199999999996
3.68457,111.928,12.33789999999999
3.97225,116.167,15.260000000000005
4.26594,119.433,19.8048
4.55961,123.673,35.7148
5.1331248372619775,92.566,20.
5.8756969841386155,91.3565,20.
