radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0.035714,0,0.6595304256255403
0.139307,0,2.244078446173539
0.214311,0,3.5634769553924297
0.321499,0,4.885883853420269
0.400106,0,5.8119108301401186
0.492972,0,7.395454857049787
0.578704,0,8.715850175694927
0.675163,0,10.037242303766314
0.760932,0,10.8327141864429
0.860995,0,11.760734782015247
0.946791,0,12.162511842649142
1.05762,0,12.566623772209386
1.13981,0,13.361736444281918
1.24346,0,14.158824774676745
1.32925,0,14.691893311092212
1.43291,0,15.226488492574909
1.51516,0,15.234211520562058
1.61528,0,15.374842472049025
1.70823,0,15.646046478109454
1.8155,0,15.787306048153512
1.89775,0,15.795029076140665
2.00506,0,15.411392151011473
2.09448,0,15.157250648643586
2.19461,0,15.035478253869433
2.29116,0,15.044458518970773
2.39487,0,14.92295553214966
2.47355,0,14.930319349532756
2.58083,0,14.809175573315697
2.67023,0,14.817527219859942
2.71317,0,14.427873517112852
