radius (kpc),gas circ velocity (km/s),stars circ velocity (km/s)
0,0,0.
0.107892,0.981033,1.4133221998364414
0.197777,2.93492,4.27020861235225
0.299666,4.24024,7.0138463051490465
0.401577,4.57154,9.318639772549094
0.515486,4.57893,11.134610706594168
0.623414,3.93659,13.792092171732103
0.725347,3.29386,14.9507055518733
0.821299,2.00139,17.12073177852174
0.917301,-1.56381,18.244903880571172
1.00729,-4.48005,19.820392024092186
1.10327,-7.07123,21.384196243905908
1.19918,-6.09097,21.893202330454358
1.29503,-2.83799,22.822135082185536
1.36688,1.06279,23.14899108281211
1.42675,4.96278,23.410898694945658
1.54063,6.26888,24.018874205338825
1.64251,7.89888,24.88644355143223
1.74441,8.87952,25.926396798852927
1.8463,10.1848,26.89615438347857
1.96019,10.8416,27.1252707330361
2.05607,12.7959,27.304754377137098
2.16398,13.1276,27.50220867121366
2.26586,14.7575,28.30357456969277
2.36776,15.7382,28.97312425115512
2.47565,16.7192,29.526967964086744
2.57755,17.6999,30.34356033903546
2.67944,18.6805,31.08327621832046
2.79332,19.9866,31.64925501921926
2.89523,20.3179,31.508004147259815
2.99714,20.9739,31.41133432405116
3.11103,21.6306,32.414378202318815
3.21294,22.2866,32.603466053414074
3.31485,22.2932,32.49914170275932
3.42275,22.9496,33.07192162807191
3.52466,23.2809,33.35981135554878
3.63856,23.9376,33.366738028872994
3.74046,24.9182,33.709327191988294
3.84237,25.2495,34.034539993508105
3.95027,25.9059,34.251606058283386
4.05817,26.2376,34.30449649143325
4.16008,26.8936,34.30931605664489
4.27398,26.9009,33.594206464093276
4.3759,26.9076,33.41156375792829
4.4838,27.5639,33.41395962560066
4.6,27.7,33.342454892308304
5.15,28.05,32.1
5.9,29.46,30.3
