GalaxyID,e1,e2
1,0.155845,-0.0614189
2,-0.0208633,-0.186812
3,0.187274,0.0585934
4,-0.0215052,-0.092233
5,0.25038,0.25828
6,0.17387,-0.282755
7,-0.0445411,0.0193153
8,-0.144279,0.0865515
9,0.0555139,-0.0883766
10,0.126329,-0.0191427
11,-0.0482685,0.254247
12,0.108448,-0.0714651
13,0.256315,0.0303272
14,0.0491222,0.0869615
15,-0.0384767,-0.0515794
16,0.0797602,-0.235458
17,0.0634342,0.141459
18,0.109987,0.0030138
19,0.242447,0.142976
20,-0.109783,-0.0978927
21,-0.0225971,0.0617567
22,0.0709676,0.17226
23,-0.181827,-0.150628
24,-0.0609729,-0.0612648
25,-0.0413361,-0.0901555
26,-0.213556,-0.144603
27,-0.147245,-0.0910486
28,0.0647627,-0.305577
29,-0.196795,0.131561
30,0.101193,-0.0989947
31,0.117434,0.0501976
32,0.17516,0.172986
33,0.189408,0.15778
34,-0.0268099,0.200426
35,0.0620403,0.0587922
36,0.245594,0.0635821
37,0.140639,0.0288268
38,0.0575914,-0.0601196
39,-0.0110332,0.258527
40,0.306905,0.218398
41,0.0315886,-0.110624
42,-0.228474,-0.272986
43,0.0604282,-0.0191877
44,0.107536,-0.0746553
45,0.147976,0.179651
46,-0.0349891,-0.0974563
47,-0.104743,0.0018138
48,0.218057,0.342358
49,-0.0149175,-0.0904061
50,-0.0648217,-0.114636
51,-0.280491,-0.0349098
52,0.0678911,-0.196953
53,0.111814,0.152192
54,-0.0142186,-0.209486
55,-0.111009,-0.004358
56,0.309265,0.28626
57,-0.114405,0.0101978
58,0.119357,-0.0452051
59,-0.143741,-0.0008785
60,-0.119951,-0.22703
61,-0.190112,-0.158558
62,-0.212138,-0.037397
63,-0.0102971,0.0998789
64,-0.0407337,-0.233284
65,0.212297,-0.188813
66,0.113743,0.0608708
67,0.350249,-0.0057725
68,-0.115044,-0.028657
69,-0.132334,0.0175045
70,-0.0768437,0.106498
71,-0.0045181,-0.10466
72,-0.0514132,0.231185
73,-0.0719101,-0.0520361
74,0.0411106,-0.0453542
75,-0.136677,0.0401403
76,0.163615,-0.0985749
77,-0.440424,0.0406415
78,0.0735674,0.243218
79,0.290722,0.357003
80,-0.0651359,-0.0255785
81,-0.217156,-0.326329
82,0.215145,0.29188
83,-0.0081224,0.209945
84,-0.258502,0.0429716
85,0.0110836,-0.0890553
86,-0.262017,-0.247369
87,0.280345,0.157469
88,-0.15801,-0.1451
89,-0.220332,0.32076
90,0.154284,0.316542
91,0.140703,0.13507
92,-0.11211,0.150731
93,0.107383,0.277151
94,-0.0060442,-0.238619
95,-0.0500561,0.0784167
96,0.170235,0.130752
97,-0.0390349,-0.0821213
98,-0.219833,0.193825
99,0.0256427,0.172745
100,0.0374116,0.005304
101,-0.006322,-0.177493
102,-0.0722777,0.185444
103,-0.123689,0.136989
104,0.147291,0.0479657
105,-0.157199,0.061982
106,0.0734353,-0.0831233
107,-0.134312,0.217583
108,0.108035,0.060361
109,-0.189899,0.151049
110,0.0148502,-0.0864609
111,-0.11165,0.0587718
112,0.219421,0.0867008
113,-0.176316,0.191534
114,-0.193396,-0.186311
115,-0.0513513,0.0453952
116,-0.110581,0.104814
117,0.045608,-0.184924
118,-0.0054522,0.0899901
119,0.089161,-0.147108
120,0.0590013,-0.20505
121,-0.0240304,-0.265312
122,-0.150063,0.190677
123,-0.1373,0.119298
124,1.64E-05,0.119738
125,-0.0762446,0.105829
126,-0.0139558,0.258619
127,-0.0682959,-0.0450798
128,0.168051,0.272623
129,0.0378515,-0.0719164
130,0.134306,0.0936891
131,-0.227825,-0.225082
132,0.208053,0.154241
133,0.16365,0.151203
134,-0.187627,0.313732
135,-0.188019,-0.0820575
136,0.121884,0.017512
137,-0.113159,0.0939107
138,-0.172796,0.194706
139,-0.0858352,0.256355
140,-0.132693,0.0119038
141,0.0542489,0.157578
142,-0.0023537,-0.0731668
143,-0.0568376,0.347296
144,0.0742843,0.0223938
145,0.0329094,0.093531
146,0.14863,-0.0545015
147,0.18739,0.083382
148,0.194167,-0.189608
149,0.147577,-0.031076
150,0.0270048,-0.0922822
151,-0.238849,-0.238687
152,0.0043047,-0.0308073
153,0.0111557,-0.192823
154,-0.323433,-0.0216672
155,0.0650949,-0.0958511
156,0.10501,0.0866575
157,-0.128374,-0.264483
158,0.171661,-0.0863576
159,-0.146011,0.0172441
160,-0.104967,-0.19933
161,0.0202603,-0.0771272
162,-0.141151,0.205047
163,-0.0619639,0.135753
164,-0.0361321,-0.0384394
165,-0.0666397,0.111142
166,0.182704,0.0919201
167,0.128427,-0.327809
168,0.0564142,0.128963
169,-0.0145412,0.160795
170,0.139412,-0.140346
171,-0.0337784,0.0153909
172,-0.0864253,-0.0829204
173,-0.146283,-0.0316759
174,-0.0065446,0.0273508
175,0.152346,-0.180326
176,0.141109,0.192347
177,0.242983,-0.225215
178,0.0364507,-0.0872401
179,0.175924,-0.252112
180,-0.103738,0.29364
181,0.0935962,0.110255
182,-0.320024,-0.0666179
183,0.0797661,-0.0532743
184,0.0335241,-0.0288433
185,0.154888,0.006158
186,0.24733,-0.19649
187,-0.0336737,-0.174053
188,-0.0593055,-0.110696
189,0.0378988,-0.249975
190,0.216812,0.124122
191,0.262233,-0.0025339
192,-0.054038,-0.0387757
193,-0.135266,-0.0162594
194,-0.103864,-0.0167924
195,0.0509332,0.231352
196,0.255739,-0.0509356
197,0.081548,-0.269847
198,-0.0967225,-0.132389
199,0.218608,0.314943
200,-0.184315,0.113435
201,-0.113605,0.0859597
202,-0.0456925,-0.110108
203,0.340091,0.143995
204,0.0173519,0.120372
205,0.0249164,-0.207649
206,-0.097747,0.196855
207,0.0225148,-0.0951166
208,-0.103147,-0.160949
209,-0.0440297,0.20891
210,0.179547,0.351386
211,-0.0091072,-0.0563085
212,0.222705,-0.0994395
213,0.226536,0.0805102
214,-0.31113,-0.13712
215,-0.046017,0.0856703
216,-0.129408,0.0280133
217,-0.145689,-0.0423374
218,-0.133245,0.100829
219,-0.180654,-0.0859817
220,0.100584,0.184335
221,-0.336842,-0.0432604
222,0.223802,-0.0425425
